NAME,ISO,gdppc
Nicaragua,NIC,2052.90086
Netherlands,NLD,48301.52896
Norway,NOR,77512.89679
Nepal,NPL,1037.092122
Nauru,NRU,7354.318061
New Zealand,NZL,40415.46801
Oman,OMN,18300.762
Pakistan,PAK,1473.8649
Panama,PAN,13921.26274
Peru,PER,6437.102023
Philippines,PHL,3327.680816
Palau,PLW,11806.89161
Papua New Guinea,PNG,2413.070976
Poland,POL,15850.28551
Puerto Rico,PRI,28307.75359
"Korea, Dem. People's Rep.",PRK,
Portugal,PRT,20831.08701
Paraguay,PRY,6264.894736
West Bank and Gaza,PSE,3052.583018
French Polynesia,PYF,17701.69455
Qatar,QAT,61000.83256
Romania,ROU,11541.77693
Russian Federation,RUS,10216.25195
Rwanda,RWA,890.1872011
South Asia,SAS,1843.045865
Saudi Arabia,SAU,18695.94173
Sudan,SDN,1746.192383
Senegal,SEN,1436.653614
Singapore,SGP,66176.387
Solomon Islands,SLB,2026.482459
Sierra Leone,SLE,615.277953
El Salvador,SLV,4134.321689
San Marino,SMR,
Somalia,SOM,427.8996712
Serbia,SRB,7113.576879
South Sudan,SSD,
Sao Tome and Principe,STP,1692.43531
Suriname,SUR,7008.362461
Slovak Republic,SVK,18181.19695
Slovenia,SVN,24744.8413
Sweden,SWE,54262.43908
Eswatini,SWZ,3923.577333
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,16639.68219
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,18159.29933
Chad,TCD,595.6637846
Togo,TGO,631.6538916
Thailand,THA,6123.94689
Tajikistan,TJK,1279.612667
Turkmenistan,TKM,
Timor-Leste,TLS,2061.018891
Tonga,TON,4481.510641
Trinidad and Tobago,TTO,14179.554
Tunisia,TUN,3831.437327
Turkiye,TUR,13341.59817
Tuvalu,TUV,4277.455672
Tanzania,TZA,1039.564575
Uganda,UGA,920.5476177
Ukraine,UKR,2451.900879
Uruguay,URY,15874.73799
United States,USA,61855.51863
Uzbekistan,UZB,3327.780263
St. Vincent and the Grenadines,VCT,7926.70382
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,3409.024717
Vanuatu,VUT,2573.307716
World,WLD,11011.12869
Samoa,WSM,3855.613575
Kosovo,XKX,4429.958144
"Yemen, Rep.",YEM,
South Africa,ZAF,5947.887199
Zambia,ZMB,1257.934757
Zimbabwe,ZWE,1289.199068
